stop_loss,take_profit,holding_days,trailing_variant,n_trades,valid_path_rate,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,profit_factor,expectancy,stop_hit_rate,tp_hit_rate,trailing_hit_rate,timeout_exit_rate,median_holding_time_hours,max_loss_after_stop_simulation
0.3,0.1,1,trail15_after_20,30,1.0,0.7,0.0512152777777778,0.03443103709003277,-0.00857954545454547,0.10111111111111111,-0.24076923076923085,0.10111111111111117,2.9767161384444947,0.03443103709003277,0.03333333333333333,0.36666666666666664,0.0,0.6,24.0002775,-0.24076923076923085
0.3,0.2,1,trail15_after_20,30,1.0,0.7,0.034337247190411986,0.026064776751013267,-0.00857954545454547,0.07840777781840787,-0.24076923076923085,0.13605978260869556,2.496401770122567,0.026064776751013267,0.03333333333333333,0.0,0.03333333333333333,0.9333333333333333,24.0002775,-0.24076923076923085
0.3,0.3,1,trail15_after_20,30,1.0,0.7,0.034337247190411986,0.026064776751013267,-0.00857954545454547,0.07840777781840787,-0.24076923076923085,0.13605978260869556,2.496401770122567,0.026064776751013267,0.03333333333333333,0.0,0.03333333333333333,0.9333333333333333,24.0002775,-0.24076923076923085
0.3,0.5,1,trail15_after_20,30,1.0,0.7,0.034337247190411986,0.026064776751013267,-0.00857954545454547,0.07840777781840787,-0.24076923076923085,0.13605978260869556,2.496401770122567,0.026064776751013267,0.03333333333333333,0.0,0.03333333333333333,0.9333333333333333,24.0002775,-0.24076923076923085
0.4,0.1,1,trail15_after_20,30,1.0,0.7,0.0512152777777778,0.033901263832986785,-0.00857954545454547,0.10111111111111111,-0.2566624284806104,0.10111111111111117,2.8888524175994275,0.033901263832986785,0.0,0.36666666666666664,0.0,0.6333333333333333,24.0002775,-0.2566624284806104
0.4,0.2,1,trail15_after_20,30,1.0,0.7,0.034337247190411986,0.02553500349396728,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.422715486968339,0.02553500349396728,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
0.4,0.3,1,trail15_after_20,30,1.0,0.7,0.034337247190411986,0.02553500349396728,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.422715486968339,0.02553500349396728,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
0.4,0.5,1,trail15_after_20,30,1.0,0.7,0.034337247190411986,0.02553500349396728,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.422715486968339,0.02553500349396728,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
0.5,0.1,1,trail15_after_20,30,1.0,0.7,0.0512152777777778,0.033901263832986785,-0.00857954545454547,0.10111111111111111,-0.2566624284806104,0.10111111111111117,2.8888524175994275,0.033901263832986785,0.0,0.36666666666666664,0.0,0.6333333333333333,24.0002775,-0.2566624284806104
0.5,0.2,1,trail15_after_20,30,1.0,0.7,0.034337247190411986,0.02553500349396728,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.422715486968339,0.02553500349396728,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
0.5,0.3,1,trail15_after_20,30,1.0,0.7,0.034337247190411986,0.02553500349396728,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.422715486968339,0.02553500349396728,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
0.5,0.5,1,trail15_after_20,30,1.0,0.7,0.034337247190411986,0.02553500349396728,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.422715486968339,0.02553500349396728,0.0,0.0,0.03333333333333333,0.9666666666666667,24.0002775,-0.2566624284806104
0.15,0.1,1,trail20_after_30,30,1.0,0.6333333333333333,0.04808301647655267,0.02227319704001897,-0.031227048746412793,0.10111111111111111,-0.14043478260869569,0.10111111111111117,1.8167812130530525,0.02227319704001897,0.13333333333333333,0.36666666666666664,0.0,0.5,23.5002775,-0.14043478260869569
0.15,0.2,1,trail20_after_30,30,1.0,0.6333333333333333,0.03286095950536228,0.014672363628663693,-0.031227048746412793,0.07840777781840787,-0.14043478260869569,0.13605978260869556,1.53805077652046,0.014672363628663693,0.13333333333333333,0.0,0.0,0.8666666666666667,24.0002775,-0.14043478260869569
0.15,0.3,1,trail20_after_30,30,1.0,0.6333333333333333,0.03286095950536228,0.014672363628663693,-0.031227048746412793,0.07840777781840787,-0.14043478260869569,0.13605978260869556,1.53805077652046,0.014672363628663693,0.13333333333333333,0.0,0.0,0.8666666666666667,24.0002775,-0.14043478260869569
0.15,0.5,1,trail20_after_30,30,1.0,0.6333333333333333,0.03286095950536228,0.014672363628663693,-0.031227048746412793,0.07840777781840787,-0.14043478260869569,0.13605978260869556,1.53805077652046,0.014672363628663693,0.13333333333333333,0.0,0.0,0.8666666666666667,24.0002775,-0.14043478260869569
0.2,0.1,1,trail20_after_30,30,1.0,0.7,0.0512152777777778,0.03152672053827512,-0.00857954545454547,0.10111111111111111,-0.17666666666666664,0.10111111111111117,2.5513119874845,0.03152672053827512,0.06666666666666667,0.36666666666666664,0.0,0.5666666666666667,24.0002775,-0.17666666666666664
0.2,0.2,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.02392588712691984,-0.00857954545454547,0.07840777781840787,-0.17666666666666664,0.13605978260869556,2.1773034073154043,0.02392588712691984,0.06666666666666667,0.0,0.0,0.9333333333333333,24.0002775,-0.17666666666666664
0.2,0.3,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.02392588712691984,-0.00857954545454547,0.07840777781840787,-0.17666666666666664,0.13605978260869556,2.1773034073154043,0.02392588712691984,0.06666666666666667,0.0,0.0,0.9333333333333333,24.0002775,-0.17666666666666664
0.2,0.5,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.02392588712691984,-0.00857954545454547,0.07840777781840787,-0.17666666666666664,0.13605978260869556,2.1773034073154043,0.02392588712691984,0.06666666666666667,0.0,0.0,0.9333333333333333,24.0002775,-0.17666666666666664
0.3,0.1,1,trail20_after_30,30,1.0,0.7,0.0512152777777778,0.03443103709003277,-0.00857954545454547,0.10111111111111111,-0.24076923076923085,0.10111111111111117,2.9767161384444947,0.03443103709003277,0.03333333333333333,0.36666666666666664,0.0,0.6,24.0002775,-0.24076923076923085
0.3,0.2,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.02683020367867749,-0.00857954545454547,0.07840777781840787,-0.24076923076923085,0.13605978260869556,2.540345603610866,0.02683020367867749,0.03333333333333333,0.0,0.0,0.9666666666666667,24.0002775,-0.24076923076923085
0.3,0.3,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.02683020367867749,-0.00857954545454547,0.07840777781840787,-0.24076923076923085,0.13605978260869556,2.540345603610866,0.02683020367867749,0.03333333333333333,0.0,0.0,0.9666666666666667,24.0002775,-0.24076923076923085
0.3,0.5,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.02683020367867749,-0.00857954545454547,0.07840777781840787,-0.24076923076923085,0.13605978260869556,2.540345603610866,0.02683020367867749,0.03333333333333333,0.0,0.0,0.9666666666666667,24.0002775,-0.24076923076923085
0.4,0.1,1,trail20_after_30,30,1.0,0.7,0.0512152777777778,0.033901263832986785,-0.00857954545454547,0.10111111111111111,-0.2566624284806104,0.10111111111111117,2.8888524175994275,0.033901263832986785,0.0,0.36666666666666664,0.0,0.6333333333333333,24.0002775,-0.2566624284806104
0.4,0.2,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.026300430421631504,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.46536223046253,0.026300430421631504,0.0,0.0,0.0,1.0,24.0002775,-0.2566624284806104
0.4,0.3,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.026300430421631504,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.46536223046253,0.026300430421631504,0.0,0.0,0.0,1.0,24.0002775,-0.2566624284806104
0.4,0.5,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.026300430421631504,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.46536223046253,0.026300430421631504,0.0,0.0,0.0,1.0,24.0002775,-0.2566624284806104
0.5,0.1,1,trail20_after_30,30,1.0,0.7,0.0512152777777778,0.033901263832986785,-0.00857954545454547,0.10111111111111111,-0.2566624284806104,0.10111111111111117,2.8888524175994275,0.033901263832986785,0.0,0.36666666666666664,0.0,0.6333333333333333,24.0002775,-0.2566624284806104
